gene,category,rationale,single_gene_panel_note,exclude_recommended,detection_pct_0041323,detection_pct_0041326,n_cells_0041323,n_cells_0041326,log2_detection_ratio_326_over_323,gene_id,full_name,location,cell_type,cellchat_pathway
AAMP,,,,no,9.846,9.948,112762,116241,0.015,ENSG00000127837,Angio-associated migratory cell protein,Cell membrane;Cytoplasm,pancreatic A cell,
ABCC8,,,,no,1.942,1.117,22243,13049,-0.798,ENSG00000006071,ATP-binding cassette sub-family C member 8 (Sulfonylurea receptor 1),Cell membrane,pancreatic endocrine cell;type B pancreatic cell;pancreatic D cell;pancreatic PP cell;glandular epithelial cell;enteroendocrine cell;PP cell;type L enteroendocrine cell;intestinal enteroendocrine cell;endocrine cell,
ABCC9,,,,no,3.259,3.202,37321,37411,-0.025,ENSG00000069431,ATP-binding cassette sub-family C member 9 (Sulfonylurea receptor 2),Membrane,capillary endothelial cell;pancreatic PP cell;ciliary muscle cell;pericyte;mural cell,
ACLY,,,,no,17.235,15.518,197392,181327,-0.151,ENSG00000131473,ATP-citrate synthase,Cytoplasm,type B pancreatic cell;pancreatic PP cell;PP cell;brown fat cell;epicardial adipocyte,
ACYP2,,,,no,3.593,3.221,41147,37640,-0.157,ENSG00000170634,Acylphosphatase-2,,pancreatic D cell,
ADCYAP1,,,,no,0.594,0.05,6807,581,-3.579,ENSG00000141433,Pituitary adenylate cyclase-activating polypeptide (PACAP),Secreted,type B pancreatic cell;enteroendocrine cell;endocrine cell;basophil;mast cell,PACAP
ALCAM,,,,no,11.611,7.895,132980,92252,-0.556,ENSG00000170017,CD166 antigen (Activated leukocyte cell adhesion molecule) (CD antigen CD166),Cell membrane,corneal endothelial cell;neuroendocrine cell;chromaffin cell;type I pneumocyte;lung goblet cell;pancreatic A cell;visceromotor neuron;sebaceous gland cell,CD6
ANKRD6,,,,no,1.566,1.702,17936,19890,0.12,ENSG00000135299,Ankyrin repeat domain-containing protein 6 (Diversin),,type B pancreatic cell,
ANXA5,,,,no,36.744,27.541,420822,321811,-0.416,ENSG00000164111,Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CPB-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha),,skeletal muscle satellite stem cell;pancreatic PP cell;PP cell;ovarian surface epithelial cell;elicited macrophage;alternatively activated macrophage;myeloid leukocyte;myeloid cell;fibroblast of mammary gland;fibroblast of connective tissue of glandular part of prostate;fibroblast of breast,
APP,,,,no,50.114,50.835,573949,593997,0.021,ENSG00000142192,Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II),Cell membrane,epithelial cell;lens epithelial cell;anterior lens cell;endothelial tip cell;kidney capillary endothelial cell;glomerular capillary endothelial cell;lung endothelial cell;type B pancreatic cell;fenestrated cell;glomerular endothelial cell;endothelial cell;endothelial cell of vascular tree;kidney loop of Henle thin ascending limb epithelial cell;surface ectodermal cell,APP
ARF1,,,,no,31.315,26.707,358646,312064,-0.23,ENSG00000143761,ADP-ribosylation factor 1,Golgi apparatus membrane,pancreatic D cell,
ARX,,,,no,0.408,0.396,4677,4622,-0.046,ENSG00000004848,Homeobox protein ARX (Aristaless-related homeobox),Nucleus,pancreatic endocrine cell;pancreatic PP cell;PP cell;type L enteroendocrine cell;intestinal enteroendocrine cell;enteroendocrine cell of colon;forebrain radial glial cell;cortical interneuron;cerebral cortex GABAergic interneuron;inhibitory interneuron,
ATF4,,,,no,51.875,47.634,594118,556593,-0.123,ENSG00000128272,Cyclic AMP-dependent transcription factor ATF-4 (cAMP-dependent transcription factor ATF-4) (Activating transcription factor 4) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2) (Tax-responsive enhancer element-binding protein 67) (TaxREB67),Nucleus,pancreatic PP cell;pancreatic acinar cell;PP cell,
ATP5F1A,,,,no,53.407,52.883,611667,617920,-0.014,ENSG00000152234,"ATP synthase subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)",Mitochondrion,pancreatic D cell,
BCAM,,,,no,7.253,10.178,83066,118932,0.489,ENSG00000187244,Basal cell adhesion molecule (Auberger B antigen) (B-CAM cell surface glycoprotein) (F8/G253 antigen) (Lutheran antigen) (Lutheran blood group glycoprotein) (CD antigen CD239),Membrane,basal cell of epithelium of trachea;lung neuroendocrine cell;blood vessel endothelial cell;vasa recta descending limb cell;epithelial cell of alveolus of lung;pneumocyte;type I pneumocyte;pancreatic PP cell;pancreatic epsilon cell;PP cell;fallopian tube secretory epithelial cell;club cell;endothelial cell of uterus;kidney loop of Henle thin ascending limb epithelial cell;kidney glomerular epithelial cell;parietal epithelial cell;ovarian surface epithelial cell;placental villous trophoblast,
BEX2,,,,no,4.897,4.443,56080,51910,-0.14,ENSG00000133134,Protein BEX2 (Brain-expressed X-linked protein 2) (hBex2),Cytoplasm,pancreatic endocrine cell;type B pancreatic cell;pancreatic A cell;pancreatic D cell;pancreatic PP cell;pancreatic epsilon cell;enteroendocrine cell;PP cell;endocrine cell;ON-bipolar cell;rod bipolar cell;Cajal-Retzius cell;glycinergic neuron,
CACNA2D1,,,,no,0.737,0.636,8446,7435,-0.213,ENSG00000153956,Voltage-dependent calcium channel subunit alpha-2/delta-1 (Voltage-gated calcium channel subunit alpha-2/delta-1),Membrane,pancreatic D cell;stellate neuron;neuronal brush cell,
CACYBP,,,,no,5.882,4.101,67370,47923,-0.52,ENSG00000116161,Calcyclin-binding protein (CacyBP) (hCacyBP) (S100A6-binding protein) (Siah-interacting protein),Nucleus,pancreatic D cell;mast cell;mucosal type mast cell;double negative thymocyte;proerythroblast;early T lineage precursor,
CALM3,,,,no,16.504,14.013,189023,163741,-0.236,ENSG00000160014,Calmodulin-3,Cytoplasm,pancreatic A cell;Hofbauer cell;platelet;T-helper 17 cell;large pre-B-II cell;myeloid cell;megakaryocyte-erythroid progenitor cell;megakaryocyte,
CASR,,,,no,4.038,3.884,46248,45379,-0.056,ENSG00000036828,Extracellular calcium-sensing receptor (CaR) (CaSR) (hCasR) (Parathyroid cell calcium-sensing receptor 1) (PCaR1),Cell membrane,pancreatic D cell;kidney distal convoluted tubule epithelial cell;kidney loop of Henle ascending limb epithelial cell;kidney loop of Henle thick ascending limb epithelial cell;kidney loop of Henle medullary thick ascending limb epithelial cell;kidney loop of Henle cortical thick ascending limb epithelial cell;kidney epithelial cell;kidney cortex tubule cell;epithelial cell of nephron;kidney loop of Henle epithelial cell;kidney cell,
CCDC57,,,,no,2.038,2.769,23341,32356,0.442,ENSG00000176155,Coiled-coil domain-containing protein 57,Cytoplasm,type B pancreatic cell,
CCN2,,,,no,6.815,6.411,78050,74916,-0.088,ENSG00000118523,CCN family member 2 (Cellular communication network factor 2) (Connective tissue growth factor) (Hypertrophic chondrocyte-specific protein 24) (Insulin-like growth factor-binding protein 8) (IBP-8) (IGF-binding protein 8) (IGFBP-8),Secreted,multi-ciliated epithelial cell;ciliated columnar cell of tracheobronchial tree;ciliated cell of the bronchus;endothelial cell of umbilical vein;pancreatic PP cell;PP cell;endothelial cell of uterus;kidney glomerular epithelial cell;parietal epithelial cell;enteric smooth muscle cell;glutamatergic neuron;tendon cell,
CD200,,,,no,2.131,2.024,24406,23652,-0.074,ENSG00000091972,OX-2 membrane glycoprotein (CD antigen CD200),Cell membrane,prostate gland microvascular endothelial cell;pancreatic PP cell;endothelial cell of lymphatic vessel;hematopoietic multipotent progenitor cell;early lymphoid progenitor,CD200
CD99,,,,no,27.52,28.886,315188,337521,0.07,ENSG00000002586,CD99 antigen (12E7) (E2 antigen) (Protein MIC2) (T-cell surface glycoprotein E2) (CD antigen CD99),Membrane,"Sertoli cell;pancreatic endocrine cell;type B pancreatic cell;pancreatic A cell;enteroendocrine cell;endosteal cell;preosteoblast;immature alpha-beta T cell;double-positive, alpha-beta thymocyte;immature T cell;thymocyte;double negative thymocyte;late pro-B cell;early lymphoid progenitor;lymphoid lineage restricted progenitor cell;pro-T cell;common lymphoid progenitor",CD99
